대여소번호,대여건수,반납건수,총이용건수,자치구,대여소명,위도,경도,순유출,지역명
157,1377.5833333333333,1507.1666666666667,2884.75,마포구,157. 애오개역 4번출구 앞,37.58157,127.001785,-129.58333333333348,마포구 애오개역 4번출구 앞
159,309.6666666666667,192.16666666666666,501.8333333333333,서대문구,159. 이대역 4번 출구,37.575611,127.0047,117.50000000000003,서대문구 이대역 4번 출구
160,441.75,348.25,790.0,서대문구,160. 북아현동 가구거리,37.5742,127.006592,93.5,서대문구 북아현동 가구거리
161,178.08333333333334,166.08333333333334,344.1666666666667,서대문구,161. 무악재역1번 출구,37.573307,127.00071,12.0,서대문구 무악재역1번 출구
162,637.0833333333334,161.25,798.3333333333334,서대문구,162. 봉원고가차도 밑,37.568962,127.010147,475.83333333333337,서대문구 봉원고가차도 밑
163,444.5,423.4166666666667,867.9166666666666,서대문구,163. 명지전문대학교 정문 앞,37.565331,127.007843,21.083333333333314,서대문구 명지전문대학교 정문 앞
164,411.0833333333333,324.4166666666667,735.5,서대문구,164. 북가좌1동 주민센터 ,37.484215,126.996292,86.66666666666663,서대문구 북가좌1동 주민센터 
165,1014.8333333333334,809.1666666666666,1824.0,서대문구,165. 중앙근린공원,37.576332,126.96859,205.66666666666674,서대문구 중앙근린공원
166,1400.9166666666667,1378.4166666666667,2779.3333333333335,서대문구,166. 가재울 초등학교,37.574245,126.973213,22.5,서대문구 가재울 초등학교
167,463.5,95.08333333333333,558.5833333333334,서대문구,167. 연가초등학교 옆,37.584969,126.970413,368.4166666666667,서대문구 연가초등학교 옆
169,470.0,429.9166666666667,899.9166666666666,서대문구,169. 북가좌 삼거리,37.579388,126.984947,40.083333333333314,서대문구 북가좌 삼거리
170,858.9166666666666,862.0833333333334,1721.0,서대문구,170. DMC파크뷰자이아파트 302동 앞,37.579155,126.98896,-3.1666666666667425,서대문구 DMC파크뷰자이아파트 302동 앞
171,500.4166666666667,505.3333333333333,1005.75,서대문구,171. 임광빌딩 앞,37.576508,127.002457,-4.916666666666629,서대문구 임광빌딩 앞
173,296.6666666666667,297.25,593.9166666666666,서대문구,173. 서대문역 8번출구 앞,37.5825,126.998535,-0.5833333333333144,서대문구 서대문역 8번출구 앞
175,857.6666666666666,856.3333333333334,1714.0,서대문구,175. 홍연2교옆,37.573242,127.015907,1.3333333333332575,서대문구 홍연2교옆
176,1580.9166666666667,1609.8333333333333,3190.75,서대문구,176. 명지대학교 도서관,37.572235,127.023178,-28.916666666666515,서대문구 명지대학교 도서관
177,574.6666666666666,620.5,1195.1666666666667,서대문구,177. 북가좌 초등학교,37.575592,127.02285,-45.83333333333337,서대문구 북가좌 초등학교
178,1225.8333333333333,1256.1666666666667,2482.0,서대문구,178. 증산3교 앞,37.579334,127.015083,-30.333333333333485,서대문구 증산3교 앞
179,1546.5833333333333,1568.1666666666667,3114.75,서대문구,179. 가좌역 4번출구 앞,37.566471,126.966827,-21.583333333333485,서대문구 가좌역 4번출구 앞
180,554.4166666666666,384.4166666666667,938.8333333333334,서대문구,180. 충정로역 7번출구 아래,37.574158,126.958519,169.99999999999994,서대문구 충정로역 7번출구 아래
181,840.4166666666666,823.8333333333334,1664.25,마포구,181. 망원초록길 입구,37.569248,126.980537,16.583333333333258,마포구 망원초록길 입구
182,953.3333333333334,889.8333333333334,1843.1666666666667,마포구,182. 망원2빗물펌프장 앞,37.575493,126.9785,63.5,마포구 망원2빗물펌프장 앞
183,2454.4166666666665,2308.1666666666665,4762.583333333333,마포구,183. 하늘채코오롱아파트 건너편,37.572105,126.960953,146.25,마포구 하늘채코오롱아파트 건너편
184,2202.0,2473.75,4675.75,마포구,184. 7번가피자 서교망원점,37.484215,126.996292,-271.75,마포구 7번가피자 서교망원점
185,910.0,756.3333333333334,1666.3333333333333,마포구,185. 마포 신수공원 앞,37.563229,126.974838,153.66666666666663,마포구 마포 신수공원 앞
186,2239.4166666666665,2214.25,4453.666666666667,마포구,186. 월드컵공원,37.558872,127.005539,25.166666666666515,마포구 월드컵공원
188,658.6666666666666,657.5,1316.1666666666667,서대문구,188. 홍은동 정원여중 입구,37.555859,127.013855,1.1666666666666288,서대문구 홍은동 정원여중 입구
191,816.0833333333334,1011.6666666666666,1827.75,서대문구,191. 서우빌딩,37.568264,126.998116,-195.58333333333326,서대문구 서우빌딩
192,390.4166666666667,392.1666666666667,782.5833333333334,서대문구,192. 연서어린이공원,37.557217,126.973007,-1.75,서대문구 연서어린이공원
194,1617.3333333333333,1698.8333333333333,3316.1666666666665,서대문구,194. 증산교 앞,37.555805,126.973305,-81.5,서대문구 증산교 앞
195,691.0833333333334,664.75,1355.8333333333333,서대문구,195. 모래내고가차도 ,37.563866,127.002747,26.33333333333337,서대문구 모래내고가차도 
196,332.9166666666667,297.9166666666667,630.8333333333334,서대문구,196. 연희교차로 인근,37.558533,127.006989,35.0,서대문구 연희교차로 인근
198,359.75,344.8333333333333,704.5833333333334,서대문구,198. 충정2교,37.565918,127.016426,14.916666666666686,서대문구 충정2교
199,953.3333333333334,572.0833333333334,1525.4166666666667,마포구,199. 서울 월드컵 경기장,37.55978,126.968506,381.25,마포구 서울 월드컵 경기장
200,151.91666666666666,136.25,288.1666666666667,영등포구,200. 국회의원회관,37.557201,126.955666,15.666666666666657,영등포구 국회의원회관
201,1431.1666666666667,1418.0,2849.1666666666665,영등포구,201. 진미파라곤 앞,37.544647,126.950089,13.166666666666742,영등포구 진미파라곤 앞
202,3553.4166666666665,3685.5833333333335,7239.0,영등포구,202. 국민일보 앞,37.543579,126.951324,-132.16666666666697,영등포구 국민일보 앞
203,2003.8333333333333,1991.6666666666667,3995.5,영등포구,203. 국회의사당역 3번출구 옆,37.54425,126.951637,12.166666666666515,영등포구 국회의사당역 3번출구 옆
204,1352.25,1329.75,2682.0,영등포구,204. 국회의사당역 5번출구 옆,37.539936,126.945824,22.5,영등포구 국회의사당역 5번출구 옆
205,1707.25,1700.75,3408.0,영등포구,205. 산업은행 앞,37.539272,126.945915,6.5,영등포구 산업은행 앞
206,2410.6666666666665,2372.5833333333335,4783.25,영등포구,206. KBS 앞,37.542347,126.943024,38.08333333333303,영등포구 KBS 앞
207,4700.75,4505.166666666667,9205.916666666666,영등포구,207. 여의나루역 1번출구 앞,37.552956,126.934341,195.58333333333303,영등포구 여의나루역 1번출구 앞
209,3638.9166666666665,3989.6666666666665,7628.583333333333,영등포구,209. 유진투자증권빌딩 앞,37.556324,126.897095,-350.75,영등포구 유진투자증권빌딩 앞
211,0.5,2.0,2.5,영등포구,211. 여의도역 4번출구 옆,37.560909,126.905495,-1.5,영등포구 여의도역 4번출구 옆
213,2349.1666666666665,2043.25,4392.416666666667,영등포구,213. KT앞,37.549332,126.954918,305.9166666666665,영등포구 KT앞
214,1408.25,1401.8333333333333,2810.0833333333335,영등포구,214. 금융감독원 앞,37.553001,126.956688,6.4166666666667425,영등포구 금융감독원 앞
215,1308.9166666666667,1341.0833333333333,2650.0,영등포구,215. 여의도고교 앞,37.571259,126.96048,-32.166666666666515,영등포구 여의도고교 앞
217,3323.1666666666665,3430.4166666666665,6753.583333333333,영등포구,217. NH농협은행 앞,37.557549,126.959381,-107.25,영등포구 NH농협은행 앞
219,2261.6666666666665,2263.6666666666665,4525.333333333333,영등포구,219. 롯데캐슬엠파이어 옆,37.566261,126.946671,-2.0,영등포구 롯데캐슬엠파이어 옆
220,1367.6666666666667,1309.1666666666667,2676.8333333333335,영등포구,220. 미성아파트 A동 앞,37.583698,126.924965,58.5,영등포구 미성아파트 A동 앞
221,1446.4166666666667,1414.5833333333333,2861.0,영등포구,221. 여의도초교 앞,37.574478,126.910049,31.833333333333485,영등포구 여의도초교 앞
222,1704.8333333333333,1728.75,3433.5833333333335,영등포구,222. 시범아파트버스정류장 옆,37.575138,126.91394,-23.916666666666742,영등포구 시범아파트버스정류장 옆
223,1072.8333333333333,996.5,2069.3333333333335,영등포구,223. 진주아파트상가 앞,37.573818,126.919235,76.33333333333326,영등포구 진주아파트상가 앞
224,1935.9166666666667,1957.5,3893.4166666666665,영등포구,224. 롯데캐슬 앞,37.57946,126.91713,-21.583333333333258,영등포구 롯데캐슬 앞
225,1576.3333333333333,1437.5833333333333,3013.9166666666665,영등포구,225. 앙카라공원 앞,37.566212,126.896179,138.75,영등포구 앙카라공원 앞
226,2066.6666666666665,1824.9166666666667,3891.5833333333335,영등포구,226. 샛강역 1번출구 앞,37.573002,126.907799,241.74999999999977,영등포구 샛강역 1번출구 앞
227,1846.3333333333333,1949.25,3795.5833333333335,영등포구,227. 양평1나들목 보행통로 입구,37.573112,126.922447,-102.91666666666674,영등포구 양평1나들목 보행통로 입구
228,3069.5833333333335,3193.6666666666665,6263.25,영등포구,228. 선유도역 3번출구 앞,37.564724,126.967278,-124.08333333333303,영등포구 선유도역 3번출구 앞
229,2012.1666666666667,2053.25,4065.4166666666665,영등포구,229. 양평1 보행육교 앞,37.519951,126.902451,-41.08333333333326,영등포구 양평1 보행육교 앞
230,7287.916666666667,7112.583333333333,14400.5,영등포구,230. 영등포구청역 1번출구,37.564777,126.966148,175.33333333333394,영등포구 영등포구청역 1번출구
231,2283.3333333333335,2298.9166666666665,4582.25,영등포구,231. 남부고용노동지청 남측,37.578068,126.930885,-15.58333333333303,영등포구 남부고용노동지청 남측
232,2635.9166666666665,2613.0833333333335,5249.0,영등포구,232. 양평우림 이비즈센타 앞,37.568775,126.915298,22.83333333333303,영등포구 양평우림 이비즈센타 앞
233,928.6666666666666,1009.6666666666666,1938.3333333333333,영등포구,233. 양평1동 YP센터 앞,37.559967,126.962463,-81.0,영등포구 양평1동 YP센터 앞
235,697.4166666666666,672.25,1369.6666666666667,영등포구,235. 신길동 우리은행 옆,37.566994,127.029915,25.16666666666663,영등포구 신길동 우리은행 옆
236,2976.8333333333335,3120.1666666666665,6097.0,영등포구,236. 문래동자이아파트 앞,37.563858,127.030319,-143.33333333333303,영등포구 문래동자이아파트 앞
